, 828412237534679040 , _tchock , this music is like galaxie 500's  except that it makes me want to kill myself , 1
, 828615918846636032 , orangemudkip , More like he makes me want to shoot myself in the head. , 1
, 828439279315476480 , bedforddanes , @1975adam I wouldn't even go up there THEY ARE PSYCHO ID TRIP AND KILL MYSELF , 0
, 828535440554680324 , Peendar666 , @anything4views I'd kill myself , 1
, 828408600011739137 , austin_tbh , @austin_tbh okay on the real i have work soon and my garage door won't open and i just might kill myself ! , 1
, 833033438110347267 , Elevate_Mike , @BardockObama I'll kill myself , 3
, 828670300246077445 , virgofrom97 , @brvja summer makes me want to die more than winter i HATE being sweaty , 1
, 828676551814283264 , tessacrump , @cotystone21 trying not to accidentally kill myself today , 0
, 828705880858320900 , WengerzMen , @coybmarcel @poisonxbitch it's alright I'll kill myself , 3
, 828713922299576322 , h0ransqueeen , @criminalcal OMFG OKAY THE WAY HE WAS LOOKING AT HER I WANT TO DIE , 1
, 828067312221769728 , CapShotzz , @D3NIMCHICK3N the game I can stand the people make me wanna shoot myself , 1
, 828688509208780800 , CClayhill , @FreyaHinsley I'd want to die if anyone ever saw them , 1
, 828703038084878336 , clocxo , @georjapearson hate the look smell and when it touched me I just wanna kill myself , 0
, 828463042685976576 , kashimaka , @kanatachin wow i guess i have to kill myself now tell izumi i love him , 3
, 828423218734198784 , tacoburns15 , @KEEMSTAR thats it im killing myself , 3
, 828652256874606596 , TikkunTimebomb , @Lexialex it's cute when chicks act tough but I'm pretty sure you don't want to live in the sort of world you're advocating for , 0
, 828674014063316993 , self_made1993 , @lindaikeji see now u don increase @Omojuwa popularity by that single stunt  u better go console that dude before him commit suicide. , 0
, 827763435102420992 , Stephen_SHO_ , @Markkiswhite dude downtown is sweet but like campus is a bunch of 19 year old wanna be hillbillys I wanna shoot myself , 1
, 828171642731761664 , michfranc , @michfranc even if I really wanted to hang myself tho , 0
, 828646373809647616 , DiscombobPotato , @phoenixfirefan hmm i do know if she didnt want me to kill myself or didnt want me to contribute to a statistic , 3
, 828442431410601985 , TailsPrower07 , @SilverSonic I'm about to fucking kill myself. This is getting embarrassing	, 3
, 828542096978169857 , aukkuuu , @Strikerslash time to hang myself , 3
, 828449787473252352 , alexrievman , @SupaDaddario i wanna kill myself rn , 3
, 827950915801935872 , selenasfalahee , @watsonskaider omg stop before i hang myself . , 1
, 828362472302211073 , Lilypeacockx , @zoewelchx don't even! I just wanna shoot myself! I wish there was an off button in the brain so I didn't have to think about life for a bit , 3
, 828716476538449920 , ghostcommie , [looking at cute dogs] I want to die , 2
, 828685963660509185 , itsme_aakanksha ,  I am constantly torn between killing myself and killing everyone around me.   😧😕😠 , 3
, 829786363230707712 , DaddyAntichrist , Actually want to kill myself , 3
, 827725509526159360 , the_quietlife , All about a world where we can't seem to escape the minds we don't want to live in anymore... , 2
, 828619156979384321 , giveawayfeba , Before I let ah nigga kill me I'll kill myself!! , 1
, 827172310608121856 , smileyrowoon , BITCHJ WHAT THE FUCK I AM DEAD. EVERYBODY IS DEAD. I DON'T WANT TO LIVE ANYMORE. , 2
, 828693565320597506 , SushiRollPhan ,  Business acc: I exercise and live healthily! Wholesome acc: You're beautiful  love yourselves! Main acc: I hate myself and want to die! , 2
, 827421956840554498 , diteofficial , can someone send me an EPF invite on club penguin because I'm about to shoot myself , 1
, 828489893949108225 , GORB0T , does anyone want to kill myself. , 2
, 827969278016000000 , HH_PB ,  Don't wake me in the morning. I don't want to wake up anymore....*cry *cry	, 2
, 828209788353908739 , firstnamedaniel , Drink is the devil  literally feeling suicidal , 3
, 828517635369295874 , _based_alex_ , Excuse me while I go to Alaska and kill myself , 3
, 828428828632420352 , 404joynotfound , feeling suicidal & home alone on a Sunday night i need some booze, 3
, 829385002043527178 , br0kengirll , Feeling suicidal is constant now , 3
, 827590259689025538 , casesmash , Free coffee before work  wanna shoot myself a little less now , 1
, 828451163376906240 , scottsimpkinsJR , Gonna go hang myself now  being an Atlanta fan sucks , 1
, 828424957654859776 , brianindri43 , Gonna kill myself lol #PatsNation , 1
, 828459574873223169 , justinsjimin , goodnight i hope god lets me die in my sleep , 2
, 829414369729642509 , pickeringfool , gosh i hate myself so much i want to die , 2
, 828368769634488324 , ahoy_its_bailey , guess who's feeling suicidal?? me! the worthless piece of shit with an abusive parent who's never going to achieve anything! , 3
, 828088964082921472 , qmelfitness , Haven't snowboarded in a week and I'm ready to die , 1
, 827761504468471808 , susielime , Hi im lance and im feeling :) suicidal :) , 3
, 828655113149493248 , nileshogann , How do I owe my brother like £75? End my life , 1
, 828698567472738304 , sourlilflavor , I also saw a bar called  buzz bar  and the logo had to pics of that bee movie bee (was it barry?) i wanted to die , 1
, 841681603218698241 , ultjiyonqs , I am so ready to die!!!!!! , 2
, 827799823944388608 , layshieee , i can't physically mentally emotionally handle this anymore. i just want it to be over , 2
